Name,Description,Programming languages,Forks count,Stars count,Commits count,Pull requests count,Contributors count,Releases counts,Url
madroidmaq mlx-omni-server,"MLX Omni Server is a local inference server powered by Apple's MLX framework, specifically designed for Apple Silicon (M-series) chips. It implements OpenAI-compatible API endpoints, enabling seamless integration with existing OpenAI SDK clients while leveraging the power of local ML inference.",['Python'],63,617,248,9,6,20,https://github.com/madroidmaq/mlx-omni-server
pplonski my_ml_service,My Machine Learning Web Service,"['Python', 'Jupyter Notebook', 'Dockerfile', 'Shell']",167,616,22,7,3,0,https://github.com/pplonski/my_ml_service
mrdbourke cs329s-ml-deployment-tutorial,Code and files to go along with CS329s machine learning model deployment tutorial.,"['Jupyter Notebook', 'Python', 'Other']",190,616,43,1,0,0,https://github.com/mrdbourke/cs329s-ml-deployment-tutorial
google grain,Library for reading and processing ML training data.,"['Python', 'Starlark', 'Other']",58,616,756,83,54,9,https://github.com/google/grain
skrish13 ml-contests-conf,"ML and DL related contests, competitions and conference challenges.",[],46,613,42,1,2,0,https://github.com/skrish13/ml-contests-conf
yoyoyohamapi mit-ml,斯坦福机器学习完整 python 实现,['Python'],196,608,19,0,0,0,https://github.com/yoyoyohamapi/mit-ml
OvidijusParsiunas myvision,Computer vision based ML training data generation tool 🚀,"['JavaScript', 'CSS', 'HTML']",70,607,1517,5,2,1,https://github.com/OvidijusParsiunas/myvision
keijiro UnityMLStableDiffusion,Core ML Stable Diffusion on Unity,"['C#', 'Swift', 'Shell']",54,605,69,0,0,6,https://github.com/keijiro/UnityMLStableDiffusion
Azure mlops-v2,Azure MLOps (v2) solution accelerators. Enterprise ready templates to deploy your machine learning models on the Azure Platform.,['Shell'],313,604,117,1,24,3,https://github.com/Azure/mlops-v2
csinva csinva.github.io,"Slides, paper notes, class notes, blog posts, and research on ML 📉, statistics 📊, and AI 🤖.","['HTML', 'JavaScript', 'CSS', 'Other']",106,604,474,0,0,0,https://github.com/csinva/csinva.github.io
wdndev ai_interview_note,DL & ML & RS,"['Python', 'HTML']",48,602,29,0,0,0,https://github.com/wdndev/ai_interview_note
lipiji AIStartups,"Startups about artificial intelligence. (DM, ML, NLP, CV...)",[],133,602,128,0,3,0,https://github.com/lipiji/AIStartups
lucasnewman f5-tts-mlx,Implementation of F5-TTS in MLX,['Python'],61,601,80,0,3,26,https://github.com/lucasnewman/f5-tts-mlx
xubo245 SparkLearning,"Learning Apache spark,including code and data .Most part can run local.","['Scala', 'Java']",314,600,128,0,0,9,https://github.com/xubo245/SparkLearning
dlsucomet MLResources,"Repository for Machine Learning resources, frameworks, and projects. Managed by the DLSU Machine Learning Group.",[],263,599,48,0,0,0,https://github.com/dlsucomet/MLResources
vincen-github mlimpl,"This repository collects some codes that encapsulates commonly used algorithms in the field of machine learning. Most of them are based on Numpy, Pandas or Torch. You can deepen your understanding to related model and algorithm or revise it to get the customized code belongs yourself by referring to this repository.","['Shell', 'Python', 'Jupyter Notebook', 'Other']",137,599,238,0,0,0,https://github.com/vincen-github/mlimpl
Coder-World04 ML-AI-Research-Papers---Solved,This repository contains everything you need to become proficient in ML/AI Research and Research Papers,[],81,599,43,0,0,0,https://github.com/Coder-World04/ML-AI-Research-Papers---Solved
atomic14 VisionCoreMLSample,Sample application using Vision Framework and Core ML,['Swift'],49,598,20,0,4,0,https://github.com/atomic14/VisionCoreMLSample
Meesho BharatMLStack,"BharatMLStack is an open-source, end-to-end machine learning infrastructure stack built at Meesho to support real-time and batch ML workloads at Bharat scale","['JavaScript', 'Go', 'Rust', 'Python', 'Shell', 'CSS', 'Other']",55,597,276,12,26,50,https://github.com/Meesho/BharatMLStack
anhquan0412 basic_model_scratch,Implementation of some classic Machine Learning model from scratch and benchmarking against popular ML library,"['Jupyter Notebook', 'Python']",166,596,46,0,0,0,https://github.com/anhquan0412/basic_model_scratch
microsoft 0xDeCA10B,Sharing Updatable Models (SUM) on Blockchain,"['Python', 'JavaScript', 'Dockerfile', 'Shell']",154,596,154,6,7,3,https://github.com/microsoft/0xDeCA10B
grafana intro-to-mltp,"Introduction to Metrics, Logs, Traces and Profiles session companion code.","['JavaScript', 'CSS', 'Shell', 'Dockerfile', 'HTML']",133,593,209,42,20,0,https://github.com/grafana/intro-to-mltp
navervision mlsd,"Official Tensorflow implementation of ""M-LSD: Towards Light-weight and Real-time Line Segment Detection"" (AAAI 2022 Oral)","['Python', 'HTML', 'CSS']",90,592,37,0,3,0,https://github.com/navervision/mlsd
eightBEC fastapi-ml-skeleton,FastAPI Skeleton App to serve machine learning models production-ready.,"['Python', 'Shell']",91,592,12,7,2,1,https://github.com/eightBEC/fastapi-ml-skeleton
DivergentAI dreamGPT,Leverage hallucinations from Large Language Models (LLMs) for novelty-driven explorations.,['Python'],40,591,45,1,3,0,https://github.com/DivergentAI/dreamGPT
lablup backend.ai,"Backend.AI is a streamlined, container-based computing cluster platform that hosts popular computing/ML frameworks and diverse programming languages, with pluggable heterogeneous accelerator support including CUDA GPU, ROCm GPU, Gaudi NPU, Google TPU, GraphCore IPU and other NPUs.","['Python', 'HTML', 'Shell', 'Roff', 'Starlark', 'CSS', 'Other']",164,591,3601,87,106,264,https://github.com/lablup/backend.ai
PlayPurEo ML-and-DL,self-learning,"['Python', 'HTML', 'Jupyter Notebook', 'Shell', 'MATLAB', 'TeX', 'Dockerfile']",230,588,60,0,0,0,https://github.com/PlayPurEo/ML-and-DL
imxieyi waifu2x-ios,iOS Core ML implementation of waifu2x,"['Swift', 'Metal', 'Objective-C']",60,588,68,0,2,0,https://github.com/imxieyi/waifu2x-ios
Azure AI-in-a-Box,AI-in-a-Box leverages the expertise of Microsoft across the globe to develop and provide AI and ML solutions to the technical community. Our intent is to present a curated collection of solution accelerators that can help engineers establish their AI/ML environments and solutions rapidly and with minimal friction.,"['Jupyter Notebook', 'Python']",196,587,366,0,17,0,https://github.com/Azure/AI-in-a-Box
jankais3r LLaMA_MPS,Run LLaMA (and Stanford-Alpaca) inference on Apple Silicon GPUs.,['Python'],47,585,12,1,2,0,https://github.com/jankais3r/LLaMA_MPS
hku-mars mlcc,Fast and Accurate Extrinsic Calibration for Multiple LiDARs and Cameras,"['C++', 'CMake']",116,583,33,0,0,0,https://github.com/hku-mars/mlcc
kakao n2,TOROS N2 - lightweight approximate Nearest Neighbor library which runs fast even with large datasets,"['Jupyter Notebook', 'C++', 'Python', 'Go', 'Cython', 'Makefile', 'SWIG']",69,581,266,0,12,4,https://github.com/kakao/n2
aryn-ai sycamore,🍁 Sycamore is an LLM-powered search and analytics platform for unstructured data.,"['Python', 'HTML', 'Jupyter Notebook', 'Shell', 'C++', 'Makefile', 'Dockerfile']",64,581,1513,29,38,34,https://github.com/aryn-ai/sycamore
ma-xu pointMLP-pytorch,"[ICLR 2022 poster] Official PyTorch implementation of ""Rethinking Network Design and Local Geometry in Point Cloud: A Simple Residual MLP Framework""","['Python', 'Cuda', 'C++', 'C']",72,579,81,0,3,2,https://github.com/ma-xu/pointMLP-pytorch
SwiftBrain awesome-CoreML-models,Collection of models for Core ML,[],61,578,53,1,4,0,https://github.com/SwiftBrain/awesome-CoreML-models
linkedin venice,"Venice, Derived Data Platform for Planet-Scale Workloads.","['Java', 'Other']",110,578,5684,22,75,0,https://github.com/linkedin/venice
davidrosenberg mlcourse,Machine learning course materials.,"['Jupyter Notebook', 'HTML', 'TeX', 'R', 'Asymptote', 'Mathematica', 'Other']",268,577,938,0,10,0,https://github.com/davidrosenberg/mlcourse
openxla stablehlo,Backward compatible ML compute opset inspired by HLO/MHLO,"['MLIR', 'C++', 'Python', 'Starlark', 'CMake', 'Shell', 'C']",167,577,1808,11,86,3,https://github.com/openxla/stablehlo
fal-ai real-time-demo-app,A demo application using fal.realtime and the lightning fast SDXL API provided by fal,"['JavaScript', 'TypeScript', 'CSS']",147,577,12,0,5,0,https://github.com/fal-ai/real-time-demo-app
