Name,Description,Programming languages,Forks count,Stars count,Commits count,Pull requests count,Contributors count,Releases counts,Url
apple tensorflow_macos,TensorFlow for macOS 11.0+ accelerated using Apple's ML Compute framework.,['Shell'],306,3669,9,6,5,0,https://github.com/apple/tensorflow_macos
PAIR-code lit,The Learning Interpretability Tool: Interactively analyze ML models to understand their behavior in an extensible and framework agnostic interface.,"['TypeScript', 'Python', 'CSS', 'JavaScript', 'Jupyter Notebook', 'Liquid', 'Other']",369,3615,1587,81,38,14,https://github.com/PAIR-code/lit
mrdbourke zero-to-mastery-ml,All course materials for the Zero to Mastery Machine Learning and Data Science course.,['Jupyter Notebook'],3693,3531,414,10,26,0,https://github.com/mrdbourke/zero-to-mastery-ml
ml-tooling ml-workspace,🛠 All-in-one web-based IDE specialized for machine learning and data science.,"['Jupyter Notebook', 'Python', 'JavaScript', 'Shell', 'HTML', 'Dockerfile', 'Lua']",458,3526,847,0,8,4,https://github.com/ml-tooling/ml-workspace
tensorflow hub,A library for transfer learning by reusing parts of TensorFlow models.,"['Python', 'Starlark', 'Shell']",1654,3523,1188,3,102,20,https://github.com/tensorflow/hub
esokolov ml-course-hse,Машинное обучение на ФКН ВШЭ,"['Jupyter Notebook', 'TeX', 'Other']",1206,3513,1067,25,48,0,https://github.com/esokolov/ml-course-hse
Avik-Jain 100-Days-of-ML-Code-Chinese-Version,Chinese Translation for Machine Learning Infographics,['Python'],948,3513,23,0,2,0,https://github.com/Avik-Jain/100-Days-of-ML-Code-Chinese-Version
microsoft hummingbird,Hummingbird compiles trained ML models into tensor computation for faster inference.,"['Python', 'Jupyter Notebook', 'Other']",286,3506,481,10,38,25,https://github.com/microsoft/hummingbird
ashishpatel26 Andrew-NG-Notes,This is Andrew NG Coursera Handwritten Notes.,['Jupyter Notebook'],1204,3483,38,3,4,0,https://github.com/ashishpatel26/Andrew-NG-Notes
mcmonkeyprojects SwarmUI,"SwarmUI (formerly StableSwarmUI), A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility.","['C#', 'JavaScript', 'HTML', 'Python', 'CSS', 'Shell', 'Other']",334,3425,4227,0,68,9,https://github.com/mcmonkeyprojects/SwarmUI
dair-ai ML-Notebooks,🔥 Machine Learning Notebooks,"['Jupyter Notebook', 'Other']",533,3417,119,1,4,0,https://github.com/dair-ai/ML-Notebooks
ben1234560 AiLearning-Theory-Applying,快速上手AI理论及应用实战：基础知识、Transformer、NLP、ML、DL、竞赛。含大量注释及数据集，力求每一位能看懂并复现。,"['Jupyter Notebook', 'Python']",470,3400,693,0,2,0,https://github.com/ben1234560/AiLearning-Theory-Applying
girafe-ai ml-course,Open Machine Learning course,"['Jupyter Notebook', 'Python']",1293,3385,70,19,6,5,https://github.com/girafe-ai/ml-course
Lagrange-Labs deep-prove,Framework to prove inference of ML models blazingly fast,"['Rust', 'Python', 'Other']",75,3360,950,5,37,0,https://github.com/Lagrange-Labs/deep-prove
Sakura-gh ML-notes,notes about machine learning,"['HTML', 'Jupyter Notebook', 'Python']",902,3309,116,1,0,0,https://github.com/Sakura-gh/ML-notes
helblazer811 ManimML,ManimML is a project focused on providing animations and visualizations of common machine learning concepts with the Manim Community Library.,"['Python', 'Makefile']",198,3265,119,2,4,2,https://github.com/helblazer811/ManimML
GokuMohandas mlops-course,"Learn how to design, develop, deploy and iterate on production-grade ML applications.","['Jupyter Notebook', 'Python', 'Other']",576,3233,1,1,0,0,https://github.com/GokuMohandas/mlops-course
mljar mljar-supervised,"Python package for AutoML on Tabular Data with Feature Engineering, Hyper-Parameters Tuning, Explanations and Automatic Documentation",['Python'],429,3219,1239,4,26,66,https://github.com/mljar/mljar-supervised
xenova whisper-web,ML-powered speech recognition directly in your browser,"['TypeScript', 'JavaScript', 'Other']",410,3172,75,11,3,0,https://github.com/xenova/whisper-web
patrickloeber ml-study-plan,The Ultimate FREE Machine Learning Study Plan,[],436,3134,23,4,5,0,https://github.com/patrickloeber/ml-study-plan
bfortuner ml-glossary,Machine learning glossary,"['Python', 'Jupyter Notebook']",734,3103,161,7,69,0,https://github.com/bfortuner/ml-glossary
aksnzhy xlearn,"High performance, easy-to-use, and scalable machine learning (ML) package, including linear model (LR), factorization machines (FM), and field-aware factorization machines (FFM) for Python and CLI interface.","['C++', 'Shell', 'Python', 'Makefile', 'CMake', 'C', 'Other']",517,3099,1342,11,25,15,https://github.com/aksnzhy/xlearn
Tencent tencent-ml-images,Largest multi-label image database; ResNet-101 model; 80.73% top-1 acc on ImageNet,"['Python', 'Shell']",513,3079,156,4,4,0,https://github.com/Tencent/tencent-ml-images
luspr awesome-ml-courses,Awesome free machine learning and AI courses with video lectures.,[],313,3038,24,0,6,0,https://github.com/luspr/awesome-ml-courses
Blaizzy mlx-audio,"A text-to-speech (TTS), speech-to-text (STT) and speech-to-speech (STS) library built on Apple's MLX framework, providing efficient speech analysis on Apple Silicon.","['Python', 'Swift', 'TypeScript', 'C', 'Other']",241,3002,205,8,27,12,https://github.com/Blaizzy/mlx-audio
ml-explore mlx-lm,Run LLMs with MLX,['Python'],317,2995,650,36,68,16,https://github.com/ml-explore/mlx-lm
libffcv ffcv,FFCV: Fast Forward Computer Vision (and other ML workloads!),"['Python', 'C++', 'Other']",180,2986,944,12,28,3,https://github.com/libffcv/ffcv
BayesWitnesses m2cgen,"Transform ML models into a native code (Java, C, Python, Go, JavaScript, Visual Basic, C#, R, PowerShell, PHP, Dart, Haskell, Ruby, F#, Rust) with zero dependencies","['Python', 'Elixir', 'PowerShell', 'Dart', 'Rust', 'Java', 'Other']",254,2937,376,20,14,13,https://github.com/BayesWitnesses/m2cgen
googlesamples android-vision,Deprecated: The Mobile Vision API is now a part of ML Kit: Check out this repo:,['Java'],1705,2922,77,15,13,0,https://github.com/googlesamples/android-vision
awesome-mlss awesome-mlss,🤖 Machine Learning Summer School Guide,"['HTML', 'JavaScript', 'Python', 'CSS', 'Ruby']",321,2917,669,1,89,0,https://github.com/awesome-mlss/awesome-mlss
ashishps1 learn-ai-engineering,Learn AI and LLMs from scratch using free resources,[],733,2888,31,2,5,0,https://github.com/ashishps1/learn-ai-engineering
eugeneyan ml-surveys,"📋 Survey papers summarizing advances in deep learning, NLP, CV, graphs, reinforcement learning, recommendations, graphs, etc.",[],290,2870,44,1,8,0,https://github.com/eugeneyan/ml-surveys
hosseinmoein DataFrame,"C++ DataFrame for statistical, financial, and ML analysis in modern C++","['C++', 'Other']",350,2866,2364,1,21,34,https://github.com/hosseinmoein/DataFrame
mercari ml-system-design-pattern,System design patterns for machine learning,[],339,2842,130,0,7,0,https://github.com/mercari/ml-system-design-pattern
kzbkzb Python-AI,深度学习100例、深度学习DL、图片分类、目标识别、目标检测、自然语言处理nlp、文本分类、TensorFlow、PyTorch,['Jupyter Notebook'],453,2808,132,0,0,0,https://github.com/kzbkzb/Python-AI
tirthajyoti Papers-Literature-ML-DL-RL-AI,"Highly cited and useful papers related to machine learning, deep learning, AI, game theory, reinforcement learning",[],783,2756,310,1,3,0,https://github.com/tirthajyoti/Papers-Literature-ML-DL-RL-AI
huggingface swift-coreml-diffusers,Swift app demonstrating Core ML Stable Diffusion,['Swift'],238,2720,67,5,7,0,https://github.com/huggingface/swift-coreml-diffusers
mljs ml,Machine learning tools in JavaScript,['JavaScript'],213,2701,357,0,14,68,https://github.com/mljs/ml
apple ml-ane-transformers,Reference implementation of the Transformer architecture optimized for Apple Neural Engine (ANE),"['Python', 'Makefile']",91,2668,5,3,0,3,https://github.com/apple/ml-ane-transformers
tensorflow tflite-micro,Infrastructure to enable deployment of ML models to low-power resource-constrained embedded targets (including microcontrollers and digital signal processors).,"['C++', 'Python', 'Starlark', 'C', 'Shell', 'Makefile', 'Other']",968,2646,1742,18,109,0,https://github.com/tensorflow/tflite-micro
spotify scio,A Scala API for Apache Beam and Google Cloud Dataflow.,"['Scala', 'Java', 'Python', 'CSS', 'Shell', 'C++']",526,2613,5619,19,158,153,https://github.com/spotify/scio
BBuf tvm_mlir_learn,compiler learning resources collect.,"['Python', 'C', 'Assembly', 'C++', 'Jupyter Notebook', 'Makefile', 'Shell']",360,2604,166,0,2,0,https://github.com/BBuf/tvm_mlir_learn
FurkanGozukara Stable-Diffusion,"FLUX, Stable Diffusion, SDXL, SD3, LoRA, Fine Tuning, DreamBooth, Training, Automatic1111, Forge WebUI, SwarmUI, DeepFake, TTS, Animation, Text To Video, Tutorials, Guides, Lectures, Courses, ComfyUI, Google Colab, RunPod, Kaggle, NoteBooks, ControlNet, TTS, Voice Cloning, AI, AI News, ML, ML News, News, Tech, Tech News, Kohya, Midjourney, RunPod","['JavaScript', 'Jupyter Notebook', 'Python', 'Shell']",357,2601,2288,2,2,0,https://github.com/FurkanGozukara/Stable-Diffusion
underlines awesome-ml,Curated list of useful LLM / Analytics / Datascience resources,[],219,2560,663,8,16,0,https://github.com/underlines/awesome-ml
apachecn fe4ml-zh,📖 [译] 面向机器学习的特征工程,"['JavaScript', 'CSS', 'HTML', 'Other']",676,2551,133,0,12,0,https://github.com/apachecn/fe4ml-zh
